시간,일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),지면온도(°C),시정(10m),전력거래량
0,0,0,0,0,-2.2,1358,0
1,0,0,0,0,-2.7,2000,0
2,0,0,0,0,-3,2000,0
3,0,0,0,0,-3.5,2000,0
4,0,0,0,0,-3.8,1994,0
5,0,0,0,0,-4.2,1786,0
6,0,0,0,0,-4.4,2000,0
7,0,0,0,0,-4.7,2000,0.00254
8,0,0,0,0,-4.9,2000,0.590215
9,0.6,0.15,0,0,-3.6,1973,2.847764
10,1,0.53,0,0,-0.8,1766,5.091735
11,1,0.84,1,1,0,1874,6.73217
12,1,1.03,1,0,0.3,1992,7.092398
13,1,1.1,0,0,1.2,1921,6.833103
14,1,1.01,6,2,1.4,1906,4.895436
15,1,0.78,7,7,1.4,1715,3.194087
16,0.9,0.51,6,6,0,1864,1.086988
17,0.8,0.18,0,0,0,1913,0.112619
18,0,0.01,0,0,-0.4,1887,0.07384
19,0,0,0,0,-0.7,1911,0
20,0,0,0,0,-0.8,1936,0
21,0,0,0,0,-1.2,1871,0
22,0,0,0,0,-1.8,1927,0
23,0,0,0,0,-2.3,1882,0
0,0,0,0,0,-2.6,1772,0
1,0,0,0,0,-3,1732,0
2,0,0,0,0,-3.3,1560,0
3,0,0,0,0,-3.7,1626,0
4,0,0,0,0,-3.9,1302,0
5,0,0,0,0,-4.1,1384,0
6,0,0,0,0,-4.3,1409,0
7,0,0,0,0,-4.3,1249,0.00248
8,0,0,0,0,-4.4,1179,0.406823
9,0,0.12,0,0,-3.1,1168,1.815574
10,1,0.38,0,0,-0.9,1355,3.679209
11,1,0.66,0,0,-0.1,1633,5.192008
12,1,0.88,0,0,0.1,1761,5.305039
13,1,0.95,0,0,0.9,1970,5.184568
14,1,0.91,0,0,1,1995,5.049171
15,1,0.76,4,0,0.6,1998,3.098899
16,1,0.51,0,0,0,2000,0.967558
17,0.9,0.18,0,0,-0.2,2000,0.106717
18,0,0.01,3,0,-0.9,2000,0.03576
19,0,0,3,0,-1.4,2000,0
20,0,0,3,8,-2.2,2000,0
21,0,0,3,0,-2.9,2000,0
22,0,0,4.6667,5,-2.9,2000,0
23,0,0,6.3333,9,-3.3,2000,0
0,0,0,8,0,-3.6,2000,0
1,0,0,7.3333,9,-4.3,1993,0
2,0,0,6.6667,0,-4.8,2000,0
3,0,0,6,0,-5.2,1999,0
4,0,0,8,0,-5.5,2000,0
5,0,0,8,0,-5.7,1981,0
6,0,0,6,0,-6,1991,0
7,0,0,4,0,-6.2,1974,0.002406
8,0,0,3,0,-6.1,1971,0.55736
9,0.6,0.16,1,0,-5,1858,2.913748
10,1,0.55,6,0,-2.4,1752,4.727519
11,1,0.77,7,0,-0.6,1736,6.554424
12,1,1.02,3,0,0,1706,7.554005
13,1,1.13,7,0,0.9,1910,7.545636
14,1,1.1,1,0,1.1,1903,6.711427
15,1,0.96,4,0,0.6,1976,4.439238
16,1,0.62,1,0,0,2000,1.403036
17,1,0.25,1,0,-0.8,2000,0.121258
18,0,0,0,0,-1.7,2000,0.07936
19,0,0,2.3333,0,-2.7,2000,0.0152
20,0,0,4.6667,0,-3.3,2000,0
21,0,0,7,0,-3.9,1997,0
22,0,0,5.3333,0,-4.4,1969,0
23,0,0,3.6667,0,-4.7,1968,0
0,0,0,2,0,-5.2,1990,0
1,0,0,2.3333,0,-5.7,1994,0
2,0,0,2.6667,0,-6.1,1978,0
3,0,0,3,0,-6.2,1968,0
4,0,0,3,0,-6.2,1984,0
5,0,0,1,0,-6.6,2000,0
6,0,0,1,0,-6.5,2000,0
7,0,0,0,0,-6.7,1987,0.00056
8,0,0,3,0,-6.8,1984,0.47358
9,0.3,0.14,7,0,-5.5,1926,2.250073
10,1,0.43,8,0,-3,1872,4.073915
11,1,0.69,8,0,-0.7,1671,5.854528
12,1,0.92,9,0,0,1813,5.629412
13,1,0.91,10,0,0.7,1864,4.953748
14,1,0.78,10,0,0.8,1846,2.717175
15,0.6,0.47,9,0,0.4,1732,1.635364
16,0.3,0.3,9,0,0,1719,0.480215
17,0,0.09,10,10,-0.1,1591,0.083492
18,0,0,10,10,-0.7,1604,0.02616
19,0,0,9.6667,9,-1,1616,0
20,0,0,9.3333,10,-1.4,1702,0
21,0,0,9,9,-1.8,1742,0
22,0,0,7.3333,5,-2.8,1689,0
23,0,0,5.6667,5,-3.4,1536,0
0,0,0,4,4,-4.1,1611,0
1,0,0,4.6667,3,-4.2,1550,0
2,0,0,5.3333,7,-4.5,1481,0
3,0,0,6,6,-4.8,1453,0
4,0,0,10,10,-4.3,1266,0
5,0,0,9,0,-4.1,1452,0
6,0,0,9,0,-4.2,1346,0
7,0,0,8,0,-4.7,1300,0
8,0,0,8,0,-4.6,1319,0.379418
9,0,0.12,8,0,-3.6,1550,1.801805
10,1,0.4,8,0,-1.3,1407,3.943055
11,1,0.76,7,0,0,1429,6.304834
12,1,1.01,5,0,0.7,1066,6.488792
13,1,0.98,8,0,1.5,1112,6.781928
14,1,0.99,4,0,1.7,1003,5.885878
15,1,0.84,1,0,1.1,1776,4.007459
16,1,0.61,0,0,0,2000,1.346646
17,1,0.24,0,0,-0.3,1827,0.129119
18,0.2,0.01,0,0,-1,1709,0.06904
19,0,0,0,0,-1.7,1436,0
20,0,0,0,0,-2.5,1391,0
21,0,0,0,0,-3.2,1353,0
22,0,0,0,0,-3.8,1300,0
23,0,0,0,0,-4.1,1284,0
0,0,0,0,0,-4.7,1247,0
1,0,0,0,0,-5.2,1219,0
2,0,0,0,0,-5.7,1285,0
3,0,0,0,0,-5.9,1367,0
4,0,0,0,0,-6.3,1260,0
5,0,0,0,0,-6.6,1231,0
6,0,0,0,0,-6.8,1175,0
7,0,0,0,0,-6.9,1320,8.60E-05
8,0,0,0,0,-6.9,1503,0.558158
9,0.6,0.16,0,0,-5.2,1728,2.818436
10,1,0.54,0,0,-2,1946,5.194014
11,1,0.87,0,0,-0.2,1812,6.914813
12,1,1.07,0,0,0.4,1672,7.632497
13,1,1.18,0,0,1.5,1895,7.345022
14,1,1.14,0,0,2.3,1693,6.533654
15,1,0.92,0,0,1.6,1877,4.463817
16,1,0.64,0,0,-0.2,1811,1.445672
17,1,0.26,0,0,-0.2,1989,0.133594
18,0.2,0.01,0,0,-0.8,1797,0.07936
19,0,0,0,0,-1.2,1663,0.01632
20,0,0,0,0,-2.2,1578,0
21,0,0,0,0,-2.9,1495,0
22,0,0,0,0,-3.3,1492,0
23,0,0,0,0,-4,1429,0
0,0,0,0,0,-4.6,1574,0
1,0,0,0,0,-5.1,1535,0
2,0,0,0,0,-5.6,1594,0
3,0,0,0,0,-5.9,1505,0
4,0,0,0,0,-6.2,1377,0
5,0,0,2,0,-6.3,1350,0
6,0,0,4,0,-6.2,1503,0
7,0,0,7,0,-6,1368,0
8,0,0,3,0,-6,1411,0.624941
9,0.5,0.18,8,0,-3.6,1371,2.193094
10,1,0.48,8,0,-1.2,1555,3.831721
11,1,0.75,8,2,0,1558,3.908178
12,0.6,0.6,9,5,0.4,1455,2.312093
13,0,0.5,10,10,0.7,1394,2.031288
14,0,0.41,10,10,1,1368,2.02559
15,0,0.43,10,10,1,1603,1.211276
16,0,0.27,9,9,0.8,1381,0.583559
17,0,0.13,10,10,-0.1,1515,0.071648
18,0,0,10,10,0,1518,0
19,0,0,9.6667,5,-0.1,1419,0
20,0,0,9.3333,10,-0.1,1386,0
21,0,0,9,9,-0.2,1378,0
22,0,0,9.3333,4,-0.2,1305,0
23,0,0,9.6667,5,-0.2,1422,0
0,0,0,10,10,-0.2,1271,0
1,0,0,10,10,-0.3,1333,0
2,0,0,10,10,-0.3,1275,0
3,0,0,10,6,-0.3,1261,0
4,0,0,10,6,-0.3,1253,0
5,0,0,10,5,-0.4,1394,0
6,0,0,10,6,-0.4,1268,0
7,0,0,10,4,-0.6,1357,0
8,0,0,10,10,-0.6,1339,0.126945
9,0,0.05,10,3,-0.2,1070,0.900329
10,0,0.16,10,10,0,971,1.572051
11,0,0.23,9,6,0.1,1062,3.278302
12,0.5,0.6,9,9,1.1,1281,1.862209
13,0,0.38,10,10,1.3,1518,1.554601
14,0,0.36,10,10,1.8,1267,1.703878
15,0,0.39,9,9,2.2,1293,0.815117
16,0,0.16,10,8,0.5,1702,0.225384
17,0,0.06,10,7,0,1957,0.01232
18,0,0,10,6,0,638,0
19,0,0,10,6,0,290,0
20,0,0,10,6,0,407,0
21,0,0,10,6,0,692,0
22,0,0,7,7,0,740,0
23,0,0,5.5,3,-0.1,936,0
0,0,0,4,4,-0.1,983,0
1,0,0,9,9,-0.2,791,0
2,0,0,1,1,-0.4,1515,0
3,0,0,1,1,-0.6,1420,0
4,0,0,1,1,-0.9,1451,0
5,0,0,0,0,-1.4,1821,0
6,0,0,0,0,-1.9,1785,0
7,0,0,1,1,-2.2,1686,0
8,0,0,1,1,-2.5,1384,0.261428
9,0.4,0.13,0,0,-2.3,1547,1.496403
10,1,0.47,1,1,-1.3,1559,3.01151
11,1,0.73,1,1,-0.5,1746,5.84642
12,1,1.05,1,1,-0.1,1707,6.241263
13,1,1.11,1,1,0,1663,6.65579
14,1,1.06,2,2,0.2,1922,4.847798
15,0.8,0.46,7,7,0,1458,2.177162
16,1,0.35,8,8,0,1541,1.055182
17,1,0.23,7,7,-0.2,743,0.147814
18,0.2,0.01,0,0,-1,1996,0.03744
19,0,0,3,0,-1.8,2000,0
20,0,0,6,4.5,-2.2,1992,0
21,0,0,9,9,-2.1,2000,0
22,0,0,10,7,-2,503,0
23,0,0,10,7,-2,690,0
0,0,0,10,7,-1.9,152,0
1,0,0,7,7,-2,1982,0
2,0,0,9,9,-2,1925,0
3,0,0,7,7,-2.4,2000,0
4,0,0,0,0,-2.9,2000,0
5,0,0,0,0,-3.3,2000,0
6,0,0,0,0,-3.6,2000,0
7,0,0,0,0,-3.9,2000,0
8,0,0,0,0,-4,1896,0.077074
9,0.5,0.13,0,0,-3.6,1637,0.67578
10,1,0.52,0,0,-2.3,1576,2.114794
11,1,0.86,0,0,-1.2,1759,6.468574
12,1,1.1,0,0,-0.5,1830,7.939009
13,1,1.18,0,0,-0.2,1901,7.525108
14,1,1.05,1,1,-0.1,2000,6.983934
15,1,0.99,0,0,-0.1,2000,5.105131
16,1,0.69,0,0,-0.6,2000,1.818991
17,1,0.31,0,0,-2.1,2000,0.17096
18,0.3,0.02,0,0,-3.4,2000,0.03536
19,0,0,0,0,-4.4,2000,0
20,0,0,0,0,-5,2000,0
21,0,0,0,0,-5.5,2000,0
22,0,0,0,0,-5.9,2000,0
23,0,0,0,0,-6.1,1997,0
0,0,0,0,0,-6.3,1988,0
1,0,0,0,0,-6.6,1987,0
2,0,0,0,0,-6.8,1900,0
3,0,0,0,0,-6.9,1872,0
4,0,0,0,0,-7.2,1899,0
5,0,0,0,0,-7.4,1759,0
6,0,0,0,0,-7.5,1709,0
7,0,0,0,0,-7.7,1738,0
8,0,0,0,0,-7.9,1610,0.514241
9,0.4,0.16,1,1,-7.1,1781,2.801253
10,1,0.48,1,1,-5.4,1638,5.376509
11,1,0.84,1,1,-3.6,1629,7.257012
12,1,1.11,1,1,-1.8,1700,7.590119
13,1,1.2,1,1,-0.9,1593,6.93663
14,1,1.15,2,2,-0.5,1718,5.564251
15,1,0.93,1,1,-0.9,1745,4.009657
16,1,0.63,1,1,-1.8,1807,1.668081
17,1,0.28,1,1,-3.8,1900,0.171412
18,0.3,0.02,0,0,-5.3,1985,0.0608
19,0,0,0,0,-6.2,2000,0
20,0,0,0,0,-6.9,1953,0
21,0,0,0,0,-7.6,1992,0
22,0,0,0,0,-8.1,2000,0
23,0,0,0,0,-8.5,1972,0
0,0,0,0,0,-8.8,2000,0
1,0,0,0,0,-9.1,2000,0
2,0,0,0,0,-9.3,2000,0
3,0,0,0,0,-9.6,2000,0
4,0,0,0,0,-9.8,2000,0
5,0,0,0,0,-10,2000,0
6,0,0,0,0,-10.1,2000,0
7,0,0,0,0,-10.3,2000,6.00E-06
8,0,0,0,0,-10.4,2000,0.605346
9,0.5,0.16,0,0,-9.5,1999,3.05492
10,1,0.59,0,0,-6.8,1960,5.757883
11,1,0.94,0,0,-4.1,1944,7.688603
12,1,1.17,0,0,-2.3,1945,8.161848
13,1,1.19,0,0,-1.1,1920,7.94668
14,1,1.14,0,0,-0.6,1990,6.951799
15,1,0.96,0,0,-0.6,1987,4.970597
16,1,0.66,0,0,-1.6,2000,1.725724
17,1,0.28,0,0,-3.5,2000,0.174471
18,0.3,0.02,0,0,-4.7,2000,0.07944
19,0,0,3,0,-5.6,2000,0.04456
20,0,0,6,8,-5,2000,0
21,0,0,9,9,-4.8,2000,0
22,0,0,9,9,-4.4,2000,0
23,0,0,9,9,-4.3,1821,0
0,0,0,9,9,-4.2,1930,0
1,0,0,9,9,-4.2,1964,0
2,0,0,9,9,-4.3,2000,0
3,0,0,9,9,-4.4,1996,0
4,0,0,9,9,-4.4,1993,0
5,0,0,9,9,-4.3,2000,0
6,0,0,9,9,-4.1,887,0
7,0,0,10,7,-3.9,571,0
8,0,0,10,6,-3.8,670,0.088742
9,0,0.05,10,6,-3.1,330,0.721378
10,0.4,0.29,9,9,-2.1,1354,1.490424
11,0,0.21,9,9,-1.3,1244,2.142949
12,0,0.45,9,9,-0.4,1140,3.047568
13,0.3,0.66,9,9,0.7,1087,1.853343
14,0.2,0.55,9,9,0.5,936,1.192647
15,0,0.28,9,9,0.5,957,0.884216
16,0,0.19,9,9,0.1,876,0.406179
17,0,0.11,9,9,-0.1,761,0.034257
18,0,0.01,9,9,-1.2,684,0
19,0,0,7,10,-2.6,633,0
20,0,0,5,9,-3.6,596,0
21,0,0,3,3,-4.1,522,0
22,0,0,4.6667,9,-4.6,435,0
23,0,0,6.3333,9,-4.8,420,0
0,0,0,8,8,-4.5,414,0
1,0,0,6.6667,10,-3.1,438,0
2,0,0,5.3333,9,-3.3,444,0
3,0,0,4,4,-4,471,0
4,0,0,2,2,-4.8,453,0
5,0,0,4,4,-4.4,442,0
6,0,0,2,2,-5.1,433,0
7,0,0,6,6,-4.8,411,8.00E-05
8,0,0,9,9,-3.8,412,0.341981
9,0.1,0.12,7,7,-2.9,432,1.574307
10,0.5,0.34,9,9,-0.9,489,3.018226
11,0.6,0.49,9,9,0.1,537,4.128137
12,0.6,0.74,8,8,1.8,550,5.566962
13,1,0.9,6,6,3.1,568,5.12611
14,0.8,0.74,9,9,2.9,592,3.439845
15,0.6,0.62,8,8,2.6,824,2.921745
16,0.8,0.43,6,2,1.6,982,0.76815
17,0.6,0.17,8,8,0.7,1244,0.080346
18,0,0,9,9,0.1,1132,0.06056
19,0,0,9,10,0.1,1102,0
20,0,0,9,9,-0.2,1100,0
21,0,0,9,9,0,936,0
22,0,0,9,7,0,829,0
23,0,0,9,2,0,794,0
0,0,0,9,9,0.1,842,0
1,0,0,9,7,0.1,835,0
2,0,0,9,5,0.1,959,0
3,0,0,9,9,0.3,928,0
4,0,0,9,9,0.7,881,0
5,0,0,9,9,1,808,0
6,0,0,10,7,1.3,582,0
7,0,0,9,9,0.6,357,0.00072
8,0,0,8,8,-0.4,470,0.386544
9,0,0.11,8,8,0.6,399,1.909807
10,0.1,0.22,8,8,2.3,560,3.279846
11,1,0.54,8,8,3.1,533,5.789874
12,1,0.79,4,4,5.8,549,6.172266
13,1,0.91,2,2,6,534,4.729138
14,0.8,0.76,8,0,6.2,646,4.010918
15,1,0.63,9,0,5.1,817,2.566725
16,0.8,0.48,8,0,3.2,813,1.327717
17,0.8,0.23,3,0,0,804,0.15427
18,0,0,6,0,0,647,0.03464
19,0,0,7,9,0,538,0
20,0,0,8,9,0,474,0
21,0,0,9,0,0,471,0
22,0,0,8,8,0,460,0
23,0,0,7,5,-0.1,443,0
0,0,0,6,0,-0.3,387,0
1,0,0,7,8,-0.4,455,0
2,0,0,8,0,-0.5,385,0
3,0,0,9,9,-0.4,438,0
4,0,0,9,9,-0.2,502,0
5,0,0,10,10,-0.2,505,0
6,0,0,10,10,-0.2,436,0
7,0,0,10,10,-0.2,418,0
8,0,0,10,10,-0.2,411,0.151663
9,0,0.06,10,2,0,402,0.752257
10,0,0.18,10,3,0,392,1.287349
11,0,0.28,10,4,0.3,363,2.05231
12,0,0.45,10,10,1.3,349,3.029979
13,0,0.53,9,6,2.1,382,2.497425
14,0.5,0.52,10,10,3,468,0.772603
15,0,0.19,10,3,2.8,498,0.525639
16,0,0.11,10,8,2.2,547,0.349438
17,0,0.08,10,8,1.5,462,0.017146
18,0,0,10,8,0.8,427,0
19,0,0,9.6667,8.5,0.7,432,0
20,0,0,9.3333,9,0.6,383,0
21,0,0,9,9,0.3,434,0
22,0,0,9.3333,8,0,430,0
23,0,0,9.6667,8,-0.1,379,0
0,0,0,10,10,-0.2,382,0
1,0,0,10,8,-0.4,339,0
2,0,0,10,6,0,310,0
3,0,0,10,10,0,297,0
4,0,0,10,3,0,322,0
5,0,0,10,1,0,325,0
6,0,0,10,10,0,270,0
7,0,0,10,10,0,289,0
8,0,0,9,9,0,296,0.23919
9,0,0.12,9,9,0.1,306,0.813056
10,0,0.23,9,9,2.7,401,1.89849
11,0.7,0.55,6,6,5.2,436,3.68845
12,0.9,0.75,4,4,7.5,367,3.172931
13,0.4,0.57,9,9,7.1,435,2.945841
14,0.6,0.58,3,3,7.1,313,3.727175
15,1,0.73,0,0,6.8,400,2.590812
16,1,0.44,1,1,4.7,330,0.997501
17,0.2,0.19,6,6,2.4,342,0.084176
18,0,0.01,8,0,0.4,503,0
19,0,0,8.3333,0,-0.8,446,0
20,0,0,8.6667,3,0,361,0
21,0,0,9,4,0,333,0
22,0,0,9,6,0,309,0
23,0,0,9,7.5,0,291,0
0,0,0,9,9,0,290,0
1,0,0,10,9,0,306,0
2,0,0,10,9,0,288,0
3,0,0,10,10,0,273,0
4,0,0,9,9,0,232,0
5,0,0,6,6,0,229,0
6,0,0,5,5,0,211,0
7,0,0,3,3,-0.1,189,8.00E-05
8,0,0,9,9,-0.1,197,0.213142
9,0,0.07,9,9,0,210,0.853737
10,0,0.21,9,9,0,255,1.495096
11,0.1,0.35,9,9,0.1,301,2.367012
12,0.5,0.515,9,9,0.9,256,3.261053
13,0.9,0.68,9,6,4.4,463,3.666537
14,0.8,0.72,9,3,6.1,719,2.975515
15,0.6,0.57,9,6,5.2,957,1.449872
16,0,0.29,9,6,2.8,883,0.58909
17,0,0.14,9,0,0.8,858,0.093455
18,0,0.01,9,0,-0.8,1259,0
19,0,0,9,4,0,1210,0
20,0,0,9,6,0,1171,0
21,0,0,9,0,-0.1,1184,0
22,0,0,9,10,-0.2,1084,0
23,0,0,9,10,-0.2,1046,0
0,0,0,9,0,-0.4,1154,0
1,0,0,9,9,-0.3,1250,0
2,0,0,9,9,-0.5,1295,0
3,0,0,9,0,-0.5,1316,0
4,0,0,9,0,-0.6,1241,0
5,0,0,9,0,-0.8,1301,0
6,0,0,7,0,-1.3,1359,0
7,0,0,1,0,-1.6,1281,0.00421
8,0,0,7,0,-1.7,1281,0.584622
9,0.4,0.17,7,0,-0.9,1519,2.533377
10,1,0.52,6,0,-0.1,1592,4.815642
11,1,0.83,7,0,0.2,1794,6.150772
12,1,0.98,2,0,0.7,1858,6.85216
13,1,1.11,2,0,1.8,1370,6.854714
14,1,1.08,1,0,2.8,1552,6.058305
15,1,0.9,0,0,3.1,1686,4.208734
16,1,0.65,3,0,1.8,1648,1.797313
17,1,0.28,4,0,-0.2,1810,0.284438
18,0.3,0.04,5,0,0,1629,0.07424
19,0,0,3.3333,0,0,1519,0.00016
20,0,0,1.6667,0,-0.3,1544,0
21,0,0,0,0,-0.4,1595,0
22,0,0,0,0,-0.5,1544,0
23,0,0,0,0,-0.6,1487,0
0,0,0,0,0,-0.8,1433,0
1,0,0,3,2.5,-1.1,1273,0
2,0,0,6,5,-1.2,1369,0
3,0,0,9,9,-1.1,1359,0
4,0,0,9,9,-0.8,1226,0
5,0,0,9,9,-0.8,862,0
6,0,0,9,9,-0.6,1080,0
7,0,0,9,9,-0.8,1145,0
8,0,0,8,8,-0.8,1140,0.228662
9,0,0.07,9,9,-0.3,1090,1.313429
10,0,0.3,9,9,-0.1,1005,2.499517
11,0.5,0.51,3,3,0.3,978,4.709587
12,1,0.85,8,8,1.5,904,4.229325
13,0.9,0.85,9,9,2.8,792,3.227931
14,0.7,0.52,9,9,1.9,623,2.720808
15,0.9,0.68,6,6,2.4,355,2.119135
16,0.9,0.48,3,3,2.4,355,1.107441
17,0.4,0.22,4,4,0.8,276,0.201045
18,0,0.03,0,0,0,232,0.01992
19,0,0,0,0,0,187,0
20,0,0,0,10,0,173,0
21,0,0,0,0,-0.2,346,0
22,0,0,0,0,-0.4,422,0
23,0,0,0,0,-0.5,382,0
0,0,0,0,0,-0.6,340,0
1,0,0,0,0,-0.9,400,0
2,0,0,0,0,-1.3,380,0
3,0,0,0,0,-1.6,474,0
4,0,0,0,0,-1.9,984,0
5,0,0,0,0,-2.2,1065,0
6,0,0,0,0,-2.5,1037,0
7,0,0,0,0,-2.8,1113,0.002486
8,0,0,0,0,-2.9,1227,0.565005
9,0.4,0.15,0,0,-2,1091,2.513819
10,1,0.47,0,0,-0.3,1070,4.721446
11,1,0.78,0,0,0,1493,5.908905
12,1,0.91,0,0,0.6,1085,6.128186
13,1,1,0,0,1.4,1446,5.894373
14,1,0.96,0,0,2.2,1923,4.924237
15,1,0.8,0,0,2.1,1890,3.347961
16,1,0.55,1,0,0.8,2000,1.355717
17,0.8,0.24,0,0,0,2000,0.201622
18,0,0.02,0,0,0,2000,0.05464
19,0,0,2.6667,0,-0.2,2000,0
20,0,0,5.3333,0,-0.4,2000,0
21,0,0,8,0,-0.4,2000,0
22,0,0,8,3,-0.5,2000,0
23,0,0,8,3,-0.5,2000,0
0,0,0,8,8,-0.7,2000,0
1,0,0,8.6667,7,-0.7,2000,0
2,0,0,9.3333,6,-0.8,2000,0
3,0,0,10,10,-0.7,2000,0
4,0,0,10,10,-0.7,2000,0
5,0,0,10,10,-0.7,2000,0
6,0,0,10,10,-0.8,2000,0
7,0,0,10,7,-1.3,1989,0
8,0,0,10,5,-1,1991,0.152131
9,0,0.06,10,6,-0.5,1901,0.974407
10,0,0.25,6,6,-0.1,1898,2.566833
11,0.1,0.47,7,7,0,1796,2.774163
12,0.6,0.6,9,7,0.6,1383,0.998507
13,0,0.19,10,8,0.3,1249,0.698651
14,0,0.11,10,7,0.5,744,0.803442
15,0,0.17,10,7,0.3,655,0.201204
16,0,0.03,10,8,0,140,0.165358
17,0,0.03,10,8,0,81,0.00856
18,0,0,10,8,0,187,0
19,0,0,10,8,0,582,0
20,0,0,8,8,0,836,0
21,0,0,9,9,0,590,0
22,0,0,8.3333,9,0,492,0
23,0,0,7.6667,7,-0.2,554,0
0,0,0,7,7,-0.6,894,0
1,0,0,5.3333,9,-0.8,1178,0
2,0,0,3.6667,5,-1.4,2000,0
3,0,0,2,2,-2,2000,0
4,0,0,0,0,-2.9,2000,0
5,0,0,0,0,-3.6,2000,0
6,0,0,0,0,-4.3,2000,0
7,0,0,0,0,-5.3,2000,0.00025
8,0,0,0,0,-5.8,2000,0.355271
9,0.7,0.19,0,0,-5.8,2000,1.608875
10,1,0.62,0,0,-3.9,1968,3.103415
11,1,0.94,0,0,-2.9,1935,4.270339
12,1,1.18,0,0,-2.1,1955,5.100569
13,1,1.26,0,0,-1.8,1959,5.261903
14,1,1.22,0,0,-1.8,2000,4.717186
15,1,1.04,0,0,-2,2000,3.564939
16,1,0.74,0,0,-3.3,2000,1.674239
17,1,0.38,0,0,-4.7,2000,0.219211
18,0.4,0.05,0,0,-5.8,2000,0.01952
19,0,0,0,0,-6.7,2000,0
20,0,0,0,0,-7.3,2000,0
21,0,0,0,0,-7.9,2000,0
22,0,0,0,0,-8.5,2000,0
23,0,0,0,0,-9,2000,0
0,0,0,0,0,-9.4,2000,0
1,0,0,0,0,-9.7,2000,0
2,0,0,0,0,-9.9,2000,0
3,0,0,0,0,-10,2000,0
4,0,0,0,0,-10.2,2000,0
5,0,0,0,0,-10.5,2000,0
6,0,0,0,0,-10.6,2000,0
7,0,0,0,0,-10.9,2000,0.005684
8,0,0,0,0,-10.9,2000,0.490443
9,0.5,0.2,0,0,-10.3,2000,2.295099
10,1,0.61,0,0,-7.7,1902,4.122092
11,1,0.96,0,0,-5.3,1964,5.291098
12,1,1.17,0,0,-3.6,2000,5.827896
13,1,1.27,0,0,-3.3,1887,5.828741
14,1,1.25,0,0,-2.4,1980,5.271866
15,1,1.06,0,0,-2.7,2000,4.039507
16,1,0.77,0,0,-4.3,2000,1.961047
17,1,0.39,0,0,-6.4,2000,0.252121
18,0.4,0.05,0,0,-8,2000,0.07952
19,0,0,0,0,-9,2000,0.04704
20,0,0,0,0,-9.6,2000,0
21,0,0,0,0,-10.2,1933,0
22,0,0,0,0,-10.7,2000,0
23,0,0,0,0,-11.1,2000,0.00456
0,0,0,0,0,-11.4,2000,0
1,0,0,1.3333,4.5,-11.2,2000,0
2,0,0,2.6667,9,-11,2000,0
3,0,0,4,0,-11.2,2000,0
4,0,0,5,0,-11.1,1985,0
5,0,0,7,0,-11,2000,0
6,0,0,1,0,-11.7,2000,0
7,0,0,0,0,-11.8,2000,0.006605
8,0,0.01,8,0,-11.8,2000,0.516136
9,0.5,0.19,6,0,-10.9,2000,2.169817
10,1,0.56,7,0,-8.4,2000,3.983509
11,1,0.91,7,0,-5.4,1996,5.335328
12,1,1.16,3,0,-3.5,1981,6.02575
13,1,1.26,3,0,-1.8,2000,6.699568
14,1,1.21,2,0,-1,1981,6.668985
15,1,1,7,0,-1.7,2000,4.56599
16,1,0.66,8,0,-2.9,1973,1.779746
17,0.8,0.28,8,0,-5.2,2000,0.246646
18,0,0.04,8,0,-6.9,2000,0.07944
19,0,0,5.3333,0,-8.3,2000,0.04568
20,0,0,2.6667,0,-9.3,2000,0
21,0,0,0,0,-10.1,2000,0
22,0,0,0,0,-10.7,2000,0
23,0,0,0,0,-11.1,2000,0
0,0,0,0,0,-11.4,2000,0
1,0,0,0,0,-11.8,2000,0
2,0,0,0,0,-12.1,2000,0
3,0,0,0,0,-12.5,2000,0
4,0,0,0,0,-12.7,2000,0
5,0,0,0,0,-13,2000,0
6,0,0,0,0,-13.2,2000,0
7,0,0,0,0,-13.5,2000,0.00577
8,0,0,0,0,-13.6,2000,0.736384
9,0.6,0.21,0,0,-12.6,1941,3.42397
10,1,0.62,0,0,-9.4,1703,6.202305
11,1,0.93,0,0,-6.6,1808,7.810455
12,1,1.17,0,0,-4,1906,8.600417
13,1,1.26,0,0,-2.2,1889,8.556237
14,1,1.25,0,0,-1.2,1879,7.597353
15,1,1.01,0,0,-1.5,1805,5.785786
16,1,0.77,0,0,-3.1,1778,2.896421
17,1,0.41,0,0,-5.7,1745,0.383374
18,0.3,0.05,0,0,-7.8,1835,0.07952
19,0,0,0,0,-9.1,1863,0.0612
20,0,0,0,0,-9.9,1878,0
21,0,0,0,0,-10.7,1869,0
22,0,0,0,0,-11,1746,0
23,0,0,0,0,-11.5,1738,0
0,0,0,0,0,-11.6,1766,0
1,0,0,0,0,-12,1905,0
2,0,0,0,0,-12.2,1867,0
3,0,0,0,0,-12.5,1963,0
4,0,0,1,0,-12.3,1868,0
5,0,0,0,0,-12.6,2000,0
6,0,0,1,0,-12.6,1921,0
7,0,0,1,0,-12.8,1629,0.004331
8,0,0,0,0,-12.7,1369,0.761342
9,0.6,0.2,0,0,-11.3,1401,3.298584
10,1,0.6,0,0,-7.5,1497,6.096379
11,1,0.9,0,0,-3.9,1748,7.720228
12,1,1.13,0,0,-1.5,1763,8.328268
13,1,1.24,0,0,-0.2,1889,8.245056
14,1,1.2,0,0,0.2,1730,7.358006
